"Date","Price","Open","High","Low","Change %"
"10/29/2024","3.930","3.790","3.930","3.790","2.61%"
"10/28/2024","3.830","3.821","3.860","3.821","0.00%"
"10/25/2024","3.830","3.800","3.840","3.800","1.59%"
"10/24/2024","3.770","3.780","3.780","3.758","-0.26%"
"10/23/2024","3.780","3.790","3.800","3.770","-0.53%"
"10/22/2024","3.800","3.760","3.810","3.760","0.26%"
"10/21/2024","3.790","3.790","3.790","3.760","0.53%"
"10/18/2024","3.770","3.750","3.790","3.750","0.53%"
"10/17/2024","3.750","3.758","3.758","3.729","-1.06%"
"10/16/2024","3.790","3.811","3.811","3.760","-0.79%"
"10/15/2024","3.820","3.802","3.820","3.800","-0.78%"
"10/14/2024","3.850","3.830","3.850","3.830","0.79%"
"10/10/2024","3.820","3.800","3.859","3.800","0.53%"
"10/09/2024","3.800","3.799","3.800","3.749","-0.26%"
"10/08/2024","3.810","3.830","3.831","3.800","-1.30%"
"10/07/2024","3.860","3.742","3.860","3.740","3.51%"
"10/04/2024","3.729","3.691","3.730","3.691","0.24%"
"10/03/2024","3.720","3.640","3.720","3.640","2.20%"
"10/02/2024","3.640","3.580","3.728","3.580","1.70%"
"09/30/2024","3.579","3.490","3.579","3.329","4.37%"
"09/27/2024","3.429","3.410","3.640","3.410","0.56%"
"09/26/2024","3.410","3.360","3.410","3.330","1.49%"
"09/25/2024","3.360","3.369","3.370","3.329","-0.27%"
"09/24/2024","3.369","3.320","3.470","3.320","0.87%"
"09/23/2024","3.340","3.332","3.410","3.240","1.52%"
"09/20/2024","3.290","3.229","3.290","3.229","1.54%"
"09/19/2024","3.240","3.240","3.250","3.228","0.00%"
"09/17/2024","3.240","3.370","3.370","3.240","-4.42%"
"09/16/2024","3.390","3.600","3.600","3.350","0.00%"
"09/13/2024","3.390","3.418","3.418","3.350","-0.88%"
"09/12/2024","3.420","3.528","3.528","3.350","-1.72%"
"09/11/2024","3.480","3.580","3.580","3.480","-2.82%"
"09/10/2024","3.581","3.610","3.610","3.581","-1.62%"
"09/09/2024","3.640","3.546","3.640","3.546","0.83%"
"09/06/2024","3.610","3.610","3.610","3.604","0.00%"
"09/05/2024","3.610","3.630","3.630","3.603","-0.55%"
"09/04/2024","3.630","3.609","3.720","3.601","0.55%"
"09/03/2024","3.610","3.680","3.692","3.610","-2.43%"
"09/02/2024","3.700","3.712","3.720","3.690","-0.54%"
"08/30/2024","3.720","3.720","3.720","3.710","0.27%"
"08/29/2024","3.710","3.680","3.720","3.680","0.82%"
"08/28/2024","3.680","3.700","3.710","3.670","-0.54%"
"08/27/2024","3.700","3.790","3.840","3.700","-2.63%"
"08/26/2024","3.800","3.808","3.850","3.799","-1.30%"
"08/23/2024","3.850","3.850","3.850","3.850","0.55%"
"08/22/2024","3.829","3.850","3.870","3.829","-1.06%"
"08/21/2024","3.870","3.882","3.900","3.869","-0.26%"
"08/20/2024","3.880","3.900","3.900","3.880","-0.72%"
"08/19/2024","3.908","3.900","3.908","3.900","0.49%"
"08/16/2024","3.889","3.902","3.902","3.889","-0.08%"
"08/15/2024","3.892","3.879","3.892","3.879","-0.46%"
"08/14/2024","3.910","3.939","3.939","3.898","-0.99%"
"08/13/2024","3.949","3.892","3.949","3.892","1.00%"
"08/12/2024","3.910","3.908","3.910","3.900","0.21%"
"08/09/2024","3.902","3.928","4.140","3.902","-0.71%"
"08/08/2024","3.930","3.920","4.140","3.908","0.26%"
"08/07/2024","3.920","3.931","4.140","3.898","-0.23%"
"08/06/2024","3.929","4.051","4.051","3.929","-2.96%"
"08/05/2024","4.049","4.018","4.049","4.018","-2.20%"
"08/02/2024","4.140","4.201","4.300","4.131","-0.96%"
"08/01/2024","4.180","4.230","4.230","4.180","-1.18%"
"07/31/2024","4.230","4.299","4.300","4.229","-1.65%"
"07/30/2024","4.301","4.360","4.390","4.301","-1.58%"
"07/29/2024","4.370","4.368","4.400","4.351","-0.68%"
"07/26/2024","4.400","4.400","4.400","4.390","0.00%"
"07/25/2024","4.400","4.390","4.400","4.385","0.23%"
"07/24/2024","4.390","4.400","4.400","4.390","-0.23%"
"07/23/2024","4.400","4.390","4.400","4.387","0.00%"
"07/22/2024","4.400","4.400","4.420","4.390","0.00%"
"07/19/2024","4.400","4.400","4.400","4.391","-0.68%"
"07/18/2024","4.430","4.410","4.430","4.410","0.45%"
"07/17/2024","4.410","4.440","4.440","4.410","-0.68%"
"07/16/2024","4.440","4.410","4.440","4.410","0.45%"
